	layers	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
0	1	0.47716379165649414	0.7636363506317139	0.8844426274299622	0.47645941376686096	0.7142857313156128	0.9448978900909424
1	2	0.3709664046764374	0.8454545736312866	0.8956717252731323	0.35748910903930664	0.8367347121238708	0.951020359992981
2	3	0.36850836873054504	0.8363636136054993	0.8995508551597595	0.36574023962020874	0.8163265585899353	0.9448979496955872
3	4	0.2835966646671295	0.8727272748947144	0.9358921647071838	0.36126989126205444	0.8367347121238708	0.936734676361084
