embedder	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
custom	0.316250205039978	0.8181818127632141	0.907921552658081	0.3141070008277893	0.8571428656578064	0.9387755393981934
mobile	0.6912651658058167	0.6636363863945007	0.4877501428127289	0.6911666989326477	0.6734693646430969	0.5795918107032776
resnet	0.6940707564353943	0.3272727131843567	0.4148631989955902	0.6945827007293701	0.3265306055545807	0.47959184646606445
xception	0.695993959903717	0.2818181812763214	0.6184157133102417	0.6958358287811279	0.2857142984867096	0.6540815830230713
