	embedder	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
0	custom	0.3037131428718567	0.8454545736312866	0.9279297590255737	0.36874520778656006	0.8163265585899353	0.9336735010147095
1	mobile	0.6947022676467896	0.3545454442501068	0.3770926892757416	0.6956111192703247	0.3469387888908386	0.4581632614135742
2	resnet	0.6899235844612122	0.3545454442501068	0.4311964511871338	0.691999077796936	0.36734694242477417	0.48163264989852905
3	xception	0.6879429221153259	0.6818181872367859	0.7737852334976196	0.68809974193573	0.6326530575752258	0.7622448801994324
